,genomics,plant_id,herbarium_deposited,tissue_sample_location,vegetation,soil,leaf_color,spathe_color,flower_color,height_and_habitus,flowering_phases,plant_family,plant_subfamily,plant_genus,plant_species,plant_authority,det,det_day,det_month,det_year,notes_specimen,event_id,day_start,month_start,year_start,day_end,month_end,year_end,waypoint,lat,lon,alt,municipality,state,country,locality,primary collector,other_collectors,notes_event,pop_id_thesis
0,BdM1590,B. A. S. Medeiros 295,,MCZ,,,,,,,,Arecaceae,,Syagrus,coronata,(Mart.) Becc.,B. A. S. de Medeiros,,,2014.0,,14160,14.0,11.0,2014.0,,,,90,-15.38945661,-42.80203206,830.458252,Mato Verde,MG,Brazil,,B. A. S. Medeiros,Z. Wang,,P9
1,BdM1592,B. A. S. Medeiros 277,,MCZ,caatinga,arenoso,,,,,,Arecaceae,,Syagrus,coronata,(Mart.) Becc.,B. A. S. de Medeiros,,,2014.0,,14140,13.0,11.0,2014.0,,,,between 083 and 084,-12.4544,-40.548,418.0,Itaberaba,BA,Brazil,"estrada de fazenda Canabrava, saindo da BA-130",B. A. S. Medeiros,Z. Wang,,P5
2,BdM1594,B. A. S. Medeiros 256,,MCZ,Mata estacional convertida em plantios,arenoso,,,,,,Arecaceae,,Syagrus,coronata,(Mart.) Becc.,B. A. S. de Medeiros,,,2014.0,,14119,11.0,11.0,2014.0,,,,69,-10.53648303,-39.37708047,370.7113037,Monte Santo,BA,Brazil,,B. A. S. Medeiros,Z. Wang,,P20
3,BdM1607,B. A. S. Medeiros 222,,MCZ,em pasto,,,,,,,Arecaceae,,Syagrus,coronata,(Mart.) Becc.,B. A. S. de Medeiros,,,2014.0,,14085,9.0,11.0,2014.0,,,,56,-9.760979041,-36.50717047,189.9848633,Limoeiro de Anadia,AL,Brazil,À beira da rodovia AL-220,B. A. S. Medeiros,Z. Wang,,P15
4,BdM1622,B. A. S. Medeiros 161,,MCZ,mata,,,,,,"end of male flowering, fruits",Arecaceae,,Syagrus,botryophora,(Mart.) Mart.,B. A. S. de Medeiros,,,2014.0,,14021,2.0,11.0,2014.0,,,,16,-17.12133123,-39.38055787,101.0634766,Prado,BA,Brazil,"PARNA do Descobrimento, estrada principal",B. A. S. Medeiros,Z. Wang,,P10
5,BdM1637,B. A. S. Medeiros 264,,MCZ,Em meio a plantação de café,,,,,,,Arecaceae,,Syagrus,coronata,(Mart.) Becc.,B. A. S. de Medeiros,,,2014.0,,14127,12.0,11.0,2014.0,,,,72,-11.62801612,-41.15345721,1074.871582,Morro do Chapéu,BA,Brazil,À beira da estrada BA-144,B. A. S. Medeiros,Z. Wang,,P6
6,BdM1638,B. A. S. Medeiros 249,,MCZ,Em pastos próximos a caatinga,arenoso,,,,,,Arecaceae,,Syagrus,coronata,(Mart.) Becc.,B. A. S. de Medeiros,,,2014.0,,14112,11.0,11.0,2014.0,,,,68,-9.740903964,-38.23869321,341.8719482,Santa Brígida,BA,Brazil,,B. A. S. Medeiros,Z. Wang,,P19
7,BdM1639,B. A. S. Medeiros 231,,MCZ,em pasto próximo a fragemento de mata estacional,arenoso,,,"maculinas amarelas, femininas verdes",3-4 m de altura,open male flowers,Arecaceae,,Syagrus,coronata,(Mart.) Becc.,B. A. S. de Medeiros,,,2014.0,,14095,10.0,11.0,2014.0,,,,64,-8.976725517,-36.51673171,792.9672852,Brejão,PE,Brazil,"À beira da rodovia BR-424, próximo a Garanhuns",B. A. S. Medeiros,Z. Wang,,P17_hyb
8,BdM1640,B. A. S. Medeiros 57,,MCZ,"Sobre solo arenoso, em mata úmida secundária",,,,,,male flowers,Arecaceae,,Syagrus,botryophora,(Mart.) Mart.,B. A. S. de Medeiros,,,2013.0,collected from same individual in 2013 and 2014,14041,4.0,11.0,2014.0,,,,26,-15.30463628,-39.13030928,96.01672363,Una,BA,Brazil,À beira de estrada vicinal,B. A. S. Medeiros,Z. Wang,,P3
9,BdM1640,B. A. S. Medeiros 57,,MCZ,"Sobre solo arenoso, em mata úmida secundária",,,,,,male flowers,Arecaceae,,Syagrus,botryophora,(Mart.) Mart.,B. A. S. de Medeiros,,,2013.0,collected from same individual in 2013 and 2014,13025,12.0,11.0,2013.0,,,,064,-15.3044139035,-39.1301936097,86.4035644531,Una,BA,Brazil,,B. A. S. Medeiros,L. H. M. Fonseca,,P3
