,sample_id,genomics,event_id,collecting method,plant_interaction,stage,sex,collection,location,notes_specimen,Quantity,higher_taxon,taxon_level,species,subspecies,det_insect,det_day_insect,det_month_insect,det_year_insect,preservation,vial_size,genomics_id,make_label,day_start,month_start,year_start,day_end,month_end,year_end,waypoint,lat,lon,alt,municipality,state,country,locality,primary collector,other_collectors,plant_id,notes_event,pop_id_thesis,herbarium_deposited,tissue_sample_location,vegetation,soil,leaf_color,spathe_color,flower_color,height_and_habitus,flowering_phases,plant_family,plant_subfamily,plant_genus,plant_species,plant_authority,det_host_plant,det_day_host_plant,det_month_host_plant,det_year_host_plant,notes
0,13024Z05X002,BdM1012,13024,bagging flowers,"in recently opened inflorescence, most male flowers closed",adult,,MZSP,MCZ,,1,Anchylorhynchus,genus,botryophorae,,B. A. S. Medeiros,,,2015.0,extracted,,BdM1012,,11.0,11.0,2013.0,,,,062,-16.1463820282,-40.208501732,173.40222168,Jacinto,MG,Brazil,,B. A. S. Medeiros,L. H. M. Fonseca,B. A. S. Medeiros 56,,P2,SPF,,"Sobre solo arenoso, em caatinga.",arenoso,,,,,early male flowers,Arecaceae,,Syagrus,coronata,(Mart.) Becc.,B. A. S. de Medeiros,,,2013.0,
1,13024Z05X003,BdM1013,13024,bagging flowers,"in recently opened inflorescence, most male flowers closed",adult,,MZSP,MCZ,,1,Anchylorhynchus,genus,botryophorae,,B. A. S. Medeiros,,,2015.0,extracted,,BdM1013,,11.0,11.0,2013.0,,,,062,-16.1463820282,-40.208501732,173.40222168,Jacinto,MG,Brazil,,B. A. S. Medeiros,L. H. M. Fonseca,B. A. S. Medeiros 56,,P2,SPF,,"Sobre solo arenoso, em caatinga.",arenoso,,,,,early male flowers,Arecaceae,,Syagrus,coronata,(Mart.) Becc.,B. A. S. de Medeiros,,,2013.0,
2,13024Z05X004,BdM1014,13024,bagging flowers,"in recently opened inflorescence, most male flowers closed",adult,,MZSP,MCZ,,1,Anchylorhynchus,genus,botryophorae,,B. A. S. Medeiros,,,2015.0,extracted,,BdM1014,,11.0,11.0,2013.0,,,,062,-16.1463820282,-40.208501732,173.40222168,Jacinto,MG,Brazil,,B. A. S. Medeiros,L. H. M. Fonseca,B. A. S. Medeiros 56,,P2,SPF,,"Sobre solo arenoso, em caatinga.",arenoso,,,,,early male flowers,Arecaceae,,Syagrus,coronata,(Mart.) Becc.,B. A. S. de Medeiros,,,2013.0,
3,13024Z05X005,BdM1015,13024,bagging flowers,"in recently opened inflorescence, most male flowers closed",adult,,MZSP,MCZ,,1,Anchylorhynchus,genus,botryophorae,,B. A. S. Medeiros,,,2015.0,extracted,,BdM1015,,11.0,11.0,2013.0,,,,062,-16.1463820282,-40.208501732,173.40222168,Jacinto,MG,Brazil,,B. A. S. Medeiros,L. H. M. Fonseca,B. A. S. Medeiros 56,,P2,SPF,,"Sobre solo arenoso, em caatinga.",arenoso,,,,,early male flowers,Arecaceae,,Syagrus,coronata,(Mart.) Becc.,B. A. S. de Medeiros,,,2013.0,
4,13024Z05X006,BdM1016,13024,bagging flowers,"in recently opened inflorescence, most male flowers closed",adult,,MZSP,MCZ,,1,Anchylorhynchus,genus,botryophorae,,B. A. S. Medeiros,,,2015.0,extracted,,BdM1016,,11.0,11.0,2013.0,,,,062,-16.1463820282,-40.208501732,173.40222168,Jacinto,MG,Brazil,,B. A. S. Medeiros,L. H. M. Fonseca,B. A. S. Medeiros 56,,P2,SPF,,"Sobre solo arenoso, em caatinga.",arenoso,,,,,early male flowers,Arecaceae,,Syagrus,coronata,(Mart.) Becc.,B. A. S. de Medeiros,,,2013.0,
5,13024Z05X007,BdM1017,13024,bagging flowers,"in recently opened inflorescence, most male flowers closed",adult,,MZSP,MCZ,,1,Anchylorhynchus,genus,botryophorae,,B. A. S. Medeiros,,,2015.0,extracted,,BdM1017,,11.0,11.0,2013.0,,,,062,-16.1463820282,-40.208501732,173.40222168,Jacinto,MG,Brazil,,B. A. S. Medeiros,L. H. M. Fonseca,B. A. S. Medeiros 56,,P2,SPF,,"Sobre solo arenoso, em caatinga.",arenoso,,,,,early male flowers,Arecaceae,,Syagrus,coronata,(Mart.) Becc.,B. A. S. de Medeiros,,,2013.0,
6,13024Z05X008,BdM1018,13024,bagging flowers,"in recently opened inflorescence, most male flowers closed",adult,,MZSP,MCZ,,1,Anchylorhynchus,genus,botryophorae,,B. A. S. Medeiros,,,2015.0,extracted,,BdM1018,,11.0,11.0,2013.0,,,,062,-16.1463820282,-40.208501732,173.40222168,Jacinto,MG,Brazil,,B. A. S. Medeiros,L. H. M. Fonseca,B. A. S. Medeiros 56,,P2,SPF,,"Sobre solo arenoso, em caatinga.",arenoso,,,,,early male flowers,Arecaceae,,Syagrus,coronata,(Mart.) Becc.,B. A. S. de Medeiros,,,2013.0,
7,13024Z05X009,BdM1019,13024,bagging flowers,"in recently opened inflorescence, most male flowers closed",adult,,MZSP,MCZ,,1,Anchylorhynchus,genus,botryophorae,,B. A. S. Medeiros,,,2015.0,extracted,,BdM1019,,11.0,11.0,2013.0,,,,062,-16.1463820282,-40.208501732,173.40222168,Jacinto,MG,Brazil,,B. A. S. Medeiros,L. H. M. Fonseca,B. A. S. Medeiros 56,,P2,SPF,,"Sobre solo arenoso, em caatinga.",arenoso,,,,,early male flowers,Arecaceae,,Syagrus,coronata,(Mart.) Becc.,B. A. S. de Medeiros,,,2013.0,
8,13029Z01X002,BdM1020,13029,bagging flowers,"in recently opened inflorescence, most male flowers closed",adult,,MZSP,MCZ,,1,Anchylorhynchus,genus,trapezicollis,,B. A. S. Medeiros,,,2015.0,extracted,,BdM1020,,14.0,11.0,2013.0,,,,068,-12.8300860617,-39.8762878496,360.13684082,Iaçu,BA,Brazil,,B. A. S. Medeiros,L. H. M. Fonseca,B. A. S. Medeiros 61,"VER LIVRO DE CAMPO. Outra da mesma espécie coletada, sem bichos",P4,SPF,MCZ,"Solo arenoso, compactado, entre afloramentos rochosos. Em caatinga aberta.",arenoso,"Folhas verdes acima, glaucas abaixo, espata marrom-esverdeada fora, flores amarelas",espata marrom-esverdeada externamente,,,early male flowers,Arecaceae,,Syagrus,coronata,(Mart.) Becc.,B. A. S. de Medeiros,,,2013.0,
9,13029Z01X003,BdM1021,13029,bagging flowers,"in recently opened inflorescence, most male flowers closed",adult,,MZSP,MCZ,,1,Anchylorhynchus,genus,trapezicollis,,B. A. S. Medeiros,,,2015.0,extracted,,BdM1021,,14.0,11.0,2013.0,,,,068,-12.8300860617,-39.8762878496,360.13684082,Iaçu,BA,Brazil,,B. A. S. Medeiros,L. H. M. Fonseca,B. A. S. Medeiros 61,"VER LIVRO DE CAMPO. Outra da mesma espécie coletada, sem bichos",P4,SPF,MCZ,"Solo arenoso, compactado, entre afloramentos rochosos. Em caatinga aberta.",arenoso,"Folhas verdes acima, glaucas abaixo, espata marrom-esverdeada fora, flores amarelas",espata marrom-esverdeada externamente,,,early male flowers,Arecaceae,,Syagrus,coronata,(Mart.) Becc.,B. A. S. de Medeiros,,,2013.0,
10,13029Z01X005,BdM1023,13029,bagging flowers,"in recently opened inflorescence, most male flowers closed",adult,,MZSP,MCZ,,1,Anchylorhynchus,genus,trapezicollis,,B. A. S. Medeiros,,,2015.0,extracted,,BdM1023,,14.0,11.0,2013.0,,,,068,-12.8300860617,-39.8762878496,360.13684082,Iaçu,BA,Brazil,,B. A. S. Medeiros,L. H. M. Fonseca,B. A. S. Medeiros 61,"VER LIVRO DE CAMPO. Outra da mesma espécie coletada, sem bichos",P4,SPF,MCZ,"Solo arenoso, compactado, entre afloramentos rochosos. Em caatinga aberta.",arenoso,"Folhas verdes acima, glaucas abaixo, espata marrom-esverdeada fora, flores amarelas",espata marrom-esverdeada externamente,,,early male flowers,Arecaceae,,Syagrus,coronata,(Mart.) Becc.,B. A. S. de Medeiros,,,2013.0,
11,13029Z01X007,BdM1025,13029,bagging flowers,"in recently opened inflorescence, most male flowers closed",adult,,MZSP,MCZ,,1,Anchylorhynchus,genus,trapezicollis,,B. A. S. Medeiros,,,2015.0,extracted,,BdM1025,,14.0,11.0,2013.0,,,,068,-12.8300860617,-39.8762878496,360.13684082,Iaçu,BA,Brazil,,B. A. S. Medeiros,L. H. M. Fonseca,B. A. S. Medeiros 61,"VER LIVRO DE CAMPO. Outra da mesma espécie coletada, sem bichos",P4,SPF,MCZ,"Solo arenoso, compactado, entre afloramentos rochosos. Em caatinga aberta.",arenoso,"Folhas verdes acima, glaucas abaixo, espata marrom-esverdeada fora, flores amarelas",espata marrom-esverdeada externamente,,,early male flowers,Arecaceae,,Syagrus,coronata,(Mart.) Becc.,B. A. S. de Medeiros,,,2013.0,
12,13030Z04X002,BdM1026,13030,bagging flowers,"in recently opened inflorescence, most male flowers closed",adult,,MZSP,MCZ,,1,Anchylorhynchus,genus,trapezicollis,,B. A. S. Medeiros,,,2015.0,extracted,,BdM1026,,14.0,11.0,2013.0,,,,070,-12.4614326935,-40.5657894071,435.840087891,Itaberaba,BA,Brazil,,B. A. S. Medeiros,L. H. M. Fonseca,B. A. S. Medeiros 62,,P5,,MCZ,,,,,,,early male flowers,Arecaceae,,Syagrus,coronata,(Mart.) Becc.,B. A. S. de Medeiros,,,2013.0,
13,13030Z04X003,BdM1027,13030,bagging flowers,"in recently opened inflorescence, most male flowers closed",adult,,MZSP,MCZ,,1,Anchylorhynchus,genus,trapezicollis,,B. A. S. Medeiros,,,2015.0,extracted,,BdM1027,,14.0,11.0,2013.0,,,,070,-12.4614326935,-40.5657894071,435.840087891,Itaberaba,BA,Brazil,,B. A. S. Medeiros,L. H. M. Fonseca,B. A. S. Medeiros 62,,P5,,MCZ,,,,,,,early male flowers,Arecaceae,,Syagrus,coronata,(Mart.) Becc.,B. A. S. de Medeiros,,,2013.0,
14,13030Z04X004,BdM1028,13030,bagging flowers,"in recently opened inflorescence, most male flowers closed",adult,,MZSP,MCZ,,1,Anchylorhynchus,genus,trapezicollis,,B. A. S. Medeiros,,,2015.0,extracted,,BdM1028,,14.0,11.0,2013.0,,,,070,-12.4614326935,-40.5657894071,435.840087891,Itaberaba,BA,Brazil,,B. A. S. Medeiros,L. H. M. Fonseca,B. A. S. Medeiros 62,,P5,,MCZ,,,,,,,early male flowers,Arecaceae,,Syagrus,coronata,(Mart.) Becc.,B. A. S. de Medeiros,,,2013.0,
15,13030Z04X005,BdM1029,13030,bagging flowers,"in recently opened inflorescence, most male flowers closed",adult,,MZSP,MCZ,,1,Anchylorhynchus,genus,trapezicollis,,B. A. S. Medeiros,,,2015.0,extracted,,BdM1029,,14.0,11.0,2013.0,,,,070,-12.4614326935,-40.5657894071,435.840087891,Itaberaba,BA,Brazil,,B. A. S. Medeiros,L. H. M. Fonseca,B. A. S. Medeiros 62,,P5,,MCZ,,,,,,,early male flowers,Arecaceae,,Syagrus,coronata,(Mart.) Becc.,B. A. S. de Medeiros,,,2013.0,
16,13030Z04X006,BdM1030,13030,bagging flowers,"in recently opened inflorescence, most male flowers closed",adult,,MZSP,MCZ,,1,Anchylorhynchus,genus,trapezicollis,,B. A. S. Medeiros,,,2015.0,extracted,,BdM1030,,14.0,11.0,2013.0,,,,070,-12.4614326935,-40.5657894071,435.840087891,Itaberaba,BA,Brazil,,B. A. S. Medeiros,L. H. M. Fonseca,B. A. S. Medeiros 62,,P5,,MCZ,,,,,,,early male flowers,Arecaceae,,Syagrus,coronata,(Mart.) Becc.,B. A. S. de Medeiros,,,2013.0,
17,13030Z04X007,BdM1031,13030,bagging flowers,"in recently opened inflorescence, most male flowers closed",adult,,MZSP,MCZ,,1,Anchylorhynchus,genus,trapezicollis,,B. A. S. Medeiros,,,2015.0,extracted,,BdM1031,,14.0,11.0,2013.0,,,,070,-12.4614326935,-40.5657894071,435.840087891,Itaberaba,BA,Brazil,,B. A. S. Medeiros,L. H. M. Fonseca,B. A. S. Medeiros 62,,P5,,MCZ,,,,,,,early male flowers,Arecaceae,,Syagrus,coronata,(Mart.) Becc.,B. A. S. de Medeiros,,,2013.0,
18,13039Z01X004,BdM1034,13039,bagging flowers,"in recently opened inflorescence, most male flowers closed",adult,,MZSP,MCZ,,1,Anchylorhynchus,genus,trapezicollis,,B. A. S. Medeiros,,,2015.0,extracted,,BdM1034,,15.0,11.0,2013.0,,,,081,-11.6289545596,-41.1531028245,1062.85522461,Morro do Chapéu,BA,Brazil,,B. A. S. Medeiros,L. H. M. Fonseca,B. A. S. Medeiros 71,,P6,,MCZ,Em meio a plantação de café,,,,,,early male flowers,Arecaceae,,Syagrus,coronata,(Mart.) Becc.,B. A. S. de Medeiros,,,2013.0,
19,13039Z01X005,BdM1035,13039,bagging flowers,"in recently opened inflorescence, most male flowers closed",adult,,MZSP,MCZ,,1,Anchylorhynchus,genus,trapezicollis,,B. A. S. Medeiros,,,2015.0,extracted,,BdM1035,,15.0,11.0,2013.0,,,,081,-11.6289545596,-41.1531028245,1062.85522461,Morro do Chapéu,BA,Brazil,,B. A. S. Medeiros,L. H. M. Fonseca,B. A. S. Medeiros 71,,P6,,MCZ,Em meio a plantação de café,,,,,,early male flowers,Arecaceae,,Syagrus,coronata,(Mart.) Becc.,B. A. S. de Medeiros,,,2013.0,
20,13039Z01X006,BdM1036,13039,bagging flowers,"in recently opened inflorescence, most male flowers closed",adult,,MZSP,MCZ,,1,Anchylorhynchus,genus,trapezicollis,,B. A. S. Medeiros,,,2015.0,extracted,,BdM1036,,15.0,11.0,2013.0,,,,081,-11.6289545596,-41.1531028245,1062.85522461,Morro do Chapéu,BA,Brazil,,B. A. S. Medeiros,L. H. M. Fonseca,B. A. S. Medeiros 71,,P6,,MCZ,Em meio a plantação de café,,,,,,early male flowers,Arecaceae,,Syagrus,coronata,(Mart.) Becc.,B. A. S. de Medeiros,,,2013.0,
21,13039Z01X007,BdM1037,13039,bagging flowers,"in recently opened inflorescence, most male flowers closed",adult,,MZSP,MCZ,,1,Anchylorhynchus,genus,trapezicollis,,B. A. S. Medeiros,,,2015.0,extracted,,BdM1037,,15.0,11.0,2013.0,,,,081,-11.6289545596,-41.1531028245,1062.85522461,Morro do Chapéu,BA,Brazil,,B. A. S. Medeiros,L. H. M. Fonseca,B. A. S. Medeiros 71,,P6,,MCZ,Em meio a plantação de café,,,,,,early male flowers,Arecaceae,,Syagrus,coronata,(Mart.) Becc.,B. A. S. de Medeiros,,,2013.0,
22,13045Z06X001,BdM1038,13045,bagging flowers,in late male flowers,adult,,MZSP,MCZ,,1,Anchylorhynchus,genus,trapezicollis,,B. A. S. Medeiros,,,2015.0,extracted,,BdM1038,,17.0,11.0,2013.0,,,,092,-13.9695102442,-42.2819960676,896.788818359,Lagoa Real,BA,Brazil,,B. A. S. Medeiros,L. H. M. Fonseca,B. A. S. Medeiros 78,,P7,,MCZ,Em cultivo em sítio,,,,,,late male flowers,Arecaceae,,Syagrus,coronata,(Mart.) Becc.,B. A. S. de Medeiros,,,2013.0,
