genomics,batch
BdM1183,5
BdM1184,5
BdM1185,5
BdM1186,5
BdM1187,5
BdM1188,5
BdM1189,5
BdM1190,5
BdM1191,5
BdM1192,5
BdM1193,5
BdM1194,5
BdM1195,5
BdM1196,5
BdM1197,5
BdM1198,5
BdM1199,5
BdM1200,5
BdM1201,5
BdM1231,5
BdM1232,5
BdM1233,5
BdM1234,5
BdM1235,5
BdM1236,5
BdM1237,5
BdM1238,5
BdM1239,5
BdM1240,5
BdM1241,5
BdM1242,5
BdM1243,5
BdM1244,5
BdM1245,5
BdM1246,5
BdM1247,5
BdM1000,6
BdM1004,6
BdM1005,6
BdM1006,6
BdM1007,6
BdM1008,6
BdM1172,6
BdM1173,6
BdM1174,6
BdM1175,6
BdM1176,6
BdM1177,6
BdM1128,8
BdM1129,8
BdM1130,8
BdM1131,8
BdM1132,8
BdM1133,8
BdM1134,8
BdM1135,8
BdM1136,8
BdM1137,8
BdM1138,8
BdM1139,8
BdM1140,8
BdM1141,8
BdM1142,8
BdM1143,8
BdM1144,8
BdM1145,8
BdM1146,8
BdM1147,8
BdM1148,8
BdM1149,8
BdM1150,8
BdM1151,8
BdM1152,8
BdM1153,8
BdM1154,8
BdM1155,8
BdM1156,8
BdM1157,8
BdM1158,8
BdM1159,8
BdM1160,8
BdM1161,8
BdM1162,8
BdM1163,8
BdM1164,8
BdM1165,8
BdM1166,8
BdM1202,8
BdM1203,8
BdM1204,8
BdM1205,8
BdM1206,8
BdM1207,8
BdM1208,8
BdM1209,8
BdM1210,8
BdM1076,9
BdM1077,9
BdM1078,9
BdM1079,9
BdM1080,9
BdM1081,9
BdM1082,9
BdM1083,9
BdM1084,9
BdM1085,9
BdM1086,9
BdM1087,9
BdM1088,9
BdM1089,9
BdM1090,9
BdM1091,9
BdM1092,9
BdM1093,9
BdM1094,9
BdM1095,9
BdM1096,9
BdM1097,9
BdM1098,9
BdM1099,9
BdM1100,9
BdM1101,9
BdM1102,9
BdM1103,9
BdM1104,9
BdM1105,9
BdM1106,9
BdM1107,9
BdM1108,9
BdM1109,9
BdM1110,9
BdM1111,9
BdM1167,10
BdM1168,10
BdM1169,10
BdM1170,10
BdM1171,10
BdM1178,11
BdM1179,11
BdM1180,11
BdM1181,11
BdM1182,11
BdM1211,11
BdM1212,11
BdM1213,11
BdM1214,11
BdM1215,11
BdM1216,11
BdM1217,11
BdM1218,11
BdM1219,11
BdM1220,11
BdM1221,11
BdM1222,11
BdM1223,11
BdM1224,11
BdM1225,11
BdM1226,11
BdM1227,11
BdM1228,11
BdM1229,11
BdM1230,11
BdM1268,11
BdM1269,11
BdM1270,11
BdM1248,12
BdM1249,12
BdM1250,12
BdM1251,12
BdM1252,12
BdM1253,12
BdM1254,12
BdM1255,12
BdM1256,12
BdM1257,12
BdM1258,12
BdM1259,12
BdM1260,12
BdM1261,12
BdM1262,12
BdM1263,12
BdM1264,12
BdM1265,12
BdM1266,12
BdM1267,12
BdM1272,12
BdM1273,12
BdM1274,12
BdM1275,12
BdM1012,13
BdM1013,13
BdM1014,13
BdM1015,13
BdM1016,13
BdM1017,13
BdM1018,13
BdM1019,13
BdM1020,13
BdM1021,13
BdM1022,13
BdM1023,13
BdM1024,13
BdM1025,13
BdM1026,13
BdM1027,13
BdM1028,13
BdM1029,13
BdM1030,13
BdM1031,13
BdM1032,13
BdM1033,13
BdM1034,13
BdM1035,13
BdM1036,13
BdM1037,13
BdM1038,13
BdM1039,13
BdM1040,13
BdM1041,13
BdM1042,13
BdM1043,13
BdM1044,13
BdM1045,13
BdM1046,13
BdM1047,13
BdM1048,13
BdM1049,14
BdM1050,14
BdM1051,14
BdM1052,14
BdM1053,14
BdM1054,14
BdM1055,14
BdM1056,14
BdM1057,14
BdM1058,14
BdM1059,14
BdM1060,14
BdM1061,14
BdM1062,14
BdM1063,14
BdM1064,14
BdM1065,14
BdM1066,14
BdM1067,14
BdM1068,14
BdM1069,14
BdM1070,14
BdM1071,14
BdM1072,14
BdM1073,14
BdM1074,14
BdM1075,14
BdM1112,15
BdM1113,15
BdM1114,15
BdM1115,15
BdM1116,15
BdM1117,15
BdM1118,15
BdM1119,15
BdM1120,15
BdM1121,15
BdM1122,15
BdM1123,15
BdM1124,15
BdM1125,15
BdM1126,15
BdM1127,15
BdM1024,18
BdM1233,18
BdM1300,18
BdM1301,18
BdM1303,18
BdM1305,18
BdM1313,18
BdM1314,18
BdM1321,18
BdM1322,18
BdM1331,18
BdM1332,18
BdM1336,18
BdM1337,18
BdM1344,18
BdM1348,18
BdM1355,18
BdM1359,18
BdM1360,18
BdM1361,18
BdM1363,18
BdM1375,18
BdM1401,18
BdM1404,18
BdM1415,18
BdM1418,18
BdM1420,18
BdM1424,18
BdM1429,18
BdM1431,18
BdM1435,18
BdM1437,18
BdM1439,18
BdM1492,18
BdM1078,19
BdM1079,19
BdM1084,19
BdM1085,19
BdM1086,19
BdM1087,19
BdM1088,19
BdM1089,19
BdM1092,19
BdM1093,19
BdM1094,19
BdM1095,19
BdM1100,19
BdM1102,19
BdM1107,19
BdM1108,19
BdM1109,19
BdM1110,19
BdM1111,19
BdM1254,19
BdM1265,19
BdM1306,19
BdM1307,19
BdM1316,19
BdM1317,19
BdM1318,19
BdM1320,19
BdM1330,19
BdM1333,19
BdM1493,19
BdM1494,19
BdM1145,20
BdM1495,20
BdM1496,20
BdM1497,20
BdM1499,20
BdM1500,20
BdM1501,20
BdM1502,20
BdM1503,20
BdM1505,20
BdM1508,20
BdM1512,20
BdM1513,20
BdM1514,20
BdM1517,20
BdM1519,20
BdM1521,20
BdM1522,20
BdM1524,20
BdM1525,20
BdM1526,20
BdM1527,20
BdM1528,20
BdM1529,20
BdM1530,20
BdM1532,20
BdM1533,20
BdM1535,20
BdM1536,20
BdM1537,20
BdM1538,20
BdM1539,20
BdM1049,21
BdM1051,21
BdM1057,21
BdM1059,21
BdM1220,21
BdM1221,21
BdM1226,21
BdM1310,21
BdM1315,21
BdM1324,21
BdM1328,21
BdM1335,21
BdM1339,21
BdM1340,21
BdM1346,21
BdM1350,21
BdM1362,21
BdM1365,21
BdM1366,21
BdM1377,21
BdM1383,21
BdM1384,21
BdM1386,21
BdM1387,21
BdM1395,21
BdM1396,21
BdM1405,21
BdM1412,21
BdM1416,21
BdM1417,21
BdM1425,21
BdM1427,21
BdM1430,21
