sample_id,genomics,event_id,collecting method,plant_interaction,stage,sex,collection,location,notes_specimen,Quantity,higher_taxon,taxon_level,species,subspecies,det_insect,det_day_insect,det_month_insect,det_year_insect,preservation,vial_size,genomics_id,make_label,day_start,month_start,year_start,day_end,month_end,year_end,waypoint,lat,lon,alt,municipality,state,country,locality,primary collector,other_collectors,plant_id,notes_event,pop_id_thesis,herbarium_deposited,tissue_sample_location,vegetation,soil,leaf_color,spathe_color,flower_color,height_and_habitus,flowering_phases,plant_family,plant_subfamily,plant_genus,plant_species,plant_authority,det_host_plant,det_day_host_plant,det_month_host_plant,det_year_host_plant,notes
13024Z05X002,BdM1012,13024,bagging flowers,"in recently opened inflorescence, most male flowers closed",adult,NA,MZSP,MCZ,NA,1,Anchylorhynchus,genus,botryophorae,NA,B. A. S. Medeiros,NA,NA,2015,extracted,NA,BdM1012,NA,11,11,2013,NA,NA,NA,062,-16.1463820282,-40.208501732,173.40222168,Jacinto,MG,Brazil,NA,B. A. S. Medeiros,L. H. M. Fonseca,B. A. S. Medeiros 56,NA,P2,SPF,NA,"Sobre solo arenoso, em caatinga.",arenoso,NA,NA,NA,NA,early male flowers,Arecaceae,NA,Syagrus,coronata,(Mart.) Becc.,B. A. S. de Medeiros,NA,NA,2013,NA
13024Z05X003,BdM1013,13024,bagging flowers,"in recently opened inflorescence, most male flowers closed",adult,NA,MZSP,MCZ,NA,1,Anchylorhynchus,genus,botryophorae,NA,B. A. S. Medeiros,NA,NA,2015,extracted,NA,BdM1013,NA,11,11,2013,NA,NA,NA,062,-16.1463820282,-40.208501732,173.40222168,Jacinto,MG,Brazil,NA,B. A. S. Medeiros,L. H. M. Fonseca,B. A. S. Medeiros 56,NA,P2,SPF,NA,"Sobre solo arenoso, em caatinga.",arenoso,NA,NA,NA,NA,early male flowers,Arecaceae,NA,Syagrus,coronata,(Mart.) Becc.,B. A. S. de Medeiros,NA,NA,2013,NA
13024Z05X004,BdM1014,13024,bagging flowers,"in recently opened inflorescence, most male flowers closed",adult,NA,MZSP,MCZ,NA,1,Anchylorhynchus,genus,botryophorae,NA,B. A. S. Medeiros,NA,NA,2015,extracted,NA,BdM1014,NA,11,11,2013,NA,NA,NA,062,-16.1463820282,-40.208501732,173.40222168,Jacinto,MG,Brazil,NA,B. A. S. Medeiros,L. H. M. Fonseca,B. A. S. Medeiros 56,NA,P2,SPF,NA,"Sobre solo arenoso, em caatinga.",arenoso,NA,NA,NA,NA,early male flowers,Arecaceae,NA,Syagrus,coronata,(Mart.) Becc.,B. A. S. de Medeiros,NA,NA,2013,NA
13024Z05X005,BdM1015,13024,bagging flowers,"in recently opened inflorescence, most male flowers closed",adult,NA,MZSP,MCZ,NA,1,Anchylorhynchus,genus,botryophorae,NA,B. A. S. Medeiros,NA,NA,2015,extracted,NA,BdM1015,NA,11,11,2013,NA,NA,NA,062,-16.1463820282,-40.208501732,173.40222168,Jacinto,MG,Brazil,NA,B. A. S. Medeiros,L. H. M. Fonseca,B. A. S. Medeiros 56,NA,P2,SPF,NA,"Sobre solo arenoso, em caatinga.",arenoso,NA,NA,NA,NA,early male flowers,Arecaceae,NA,Syagrus,coronata,(Mart.) Becc.,B. A. S. de Medeiros,NA,NA,2013,NA
13024Z05X006,BdM1016,13024,bagging flowers,"in recently opened inflorescence, most male flowers closed",adult,NA,MZSP,MCZ,NA,1,Anchylorhynchus,genus,botryophorae,NA,B. A. S. Medeiros,NA,NA,2015,extracted,NA,BdM1016,NA,11,11,2013,NA,NA,NA,062,-16.1463820282,-40.208501732,173.40222168,Jacinto,MG,Brazil,NA,B. A. S. Medeiros,L. H. M. Fonseca,B. A. S. Medeiros 56,NA,P2,SPF,NA,"Sobre solo arenoso, em caatinga.",arenoso,NA,NA,NA,NA,early male flowers,Arecaceae,NA,Syagrus,coronata,(Mart.) Becc.,B. A. S. de Medeiros,NA,NA,2013,NA
13024Z05X007,BdM1017,13024,bagging flowers,"in recently opened inflorescence, most male flowers closed",adult,NA,MZSP,MCZ,NA,1,Anchylorhynchus,genus,botryophorae,NA,B. A. S. Medeiros,NA,NA,2015,extracted,NA,BdM1017,NA,11,11,2013,NA,NA,NA,062,-16.1463820282,-40.208501732,173.40222168,Jacinto,MG,Brazil,NA,B. A. S. Medeiros,L. H. M. Fonseca,B. A. S. Medeiros 56,NA,P2,SPF,NA,"Sobre solo arenoso, em caatinga.",arenoso,NA,NA,NA,NA,early male flowers,Arecaceae,NA,Syagrus,coronata,(Mart.) Becc.,B. A. S. de Medeiros,NA,NA,2013,NA
13024Z05X008,BdM1018,13024,bagging flowers,"in recently opened inflorescence, most male flowers closed",adult,NA,MZSP,MCZ,NA,1,Anchylorhynchus,genus,botryophorae,NA,B. A. S. Medeiros,NA,NA,2015,extracted,NA,BdM1018,NA,11,11,2013,NA,NA,NA,062,-16.1463820282,-40.208501732,173.40222168,Jacinto,MG,Brazil,NA,B. A. S. Medeiros,L. H. M. Fonseca,B. A. S. Medeiros 56,NA,P2,SPF,NA,"Sobre solo arenoso, em caatinga.",arenoso,NA,NA,NA,NA,early male flowers,Arecaceae,NA,Syagrus,coronata,(Mart.) Becc.,B. A. S. de Medeiros,NA,NA,2013,NA
13024Z05X009,BdM1019,13024,bagging flowers,"in recently opened inflorescence, most male flowers closed",adult,NA,MZSP,MCZ,NA,1,Anchylorhynchus,genus,botryophorae,NA,B. A. S. Medeiros,NA,NA,2015,extracted,NA,BdM1019,NA,11,11,2013,NA,NA,NA,062,-16.1463820282,-40.208501732,173.40222168,Jacinto,MG,Brazil,NA,B. A. S. Medeiros,L. H. M. Fonseca,B. A. S. Medeiros 56,NA,P2,SPF,NA,"Sobre solo arenoso, em caatinga.",arenoso,NA,NA,NA,NA,early male flowers,Arecaceae,NA,Syagrus,coronata,(Mart.) Becc.,B. A. S. de Medeiros,NA,NA,2013,NA
13029Z01X002,BdM1020,13029,bagging flowers,"in recently opened inflorescence, most male flowers closed",adult,NA,MZSP,MCZ,NA,1,Anchylorhynchus,genus,trapezicollis,NA,B. A. S. Medeiros,NA,NA,2015,extracted,NA,BdM1020,NA,14,11,2013,NA,NA,NA,068,-12.8300860617,-39.8762878496,360.13684082,Iaçu,BA,Brazil,NA,B. A. S. Medeiros,L. H. M. Fonseca,B. A. S. Medeiros 61,"VER LIVRO DE CAMPO. Outra da mesma espécie coletada, sem bichos",P4,SPF,MCZ,"Solo arenoso, compactado, entre afloramentos rochosos. Em caatinga aberta.",arenoso,"Folhas verdes acima, glaucas abaixo, espata marrom-esverdeada fora, flores amarelas",espata marrom-esverdeada externamente,NA,NA,early male flowers,Arecaceae,NA,Syagrus,coronata,(Mart.) Becc.,B. A. S. de Medeiros,NA,NA,2013,NA
13029Z01X003,BdM1021,13029,bagging flowers,"in recently opened inflorescence, most male flowers closed",adult,NA,MZSP,MCZ,NA,1,Anchylorhynchus,genus,trapezicollis,NA,B. A. S. Medeiros,NA,NA,2015,extracted,NA,BdM1021,NA,14,11,2013,NA,NA,NA,068,-12.8300860617,-39.8762878496,360.13684082,Iaçu,BA,Brazil,NA,B. A. S. Medeiros,L. H. M. Fonseca,B. A. S. Medeiros 61,"VER LIVRO DE CAMPO. Outra da mesma espécie coletada, sem bichos",P4,SPF,MCZ,"Solo arenoso, compactado, entre afloramentos rochosos. Em caatinga aberta.",arenoso,"Folhas verdes acima, glaucas abaixo, espata marrom-esverdeada fora, flores amarelas",espata marrom-esverdeada externamente,NA,NA,early male flowers,Arecaceae,NA,Syagrus,coronata,(Mart.) Becc.,B. A. S. de Medeiros,NA,NA,2013,NA
